Product Name,Current Price,Product Link
Palm Gradient Boots - UK5,£50.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-gradient-boots
Dryrobe V3 - Black (Long Sleeved),£148.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-v3-black-long-sleeved-changing-robe
Dryrobe V3 - Black Camo (Long Sleeved),£148.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-v3-black-camo-long-sleeved-changing-robe
Dryrobe Car Seat Cover (Single),£42.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-car-seat-cover-single-1
Palm Vector Recreational Cag,£93.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-vector-recreational-cag
Palm Gradient 3.0,£142.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-gradient-boots-30
Whetman Mission Paddler Boot,£55.21,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/whetman-mission-paddler-boot
Palm Rock Shoes,£43.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-rock-shoes
Palm High Ten Gloves,£22.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-high-ten-gloves
NRS Paddle Wetshoe Fleece Lined Neoprene Boot,£57.76,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-paddle-wetshoe-fleece-lined-neoprene-boot
Sweet Protection Wanderer II Helmet,£95.20,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/sweet-protection-wanderer-helmet-2
Palm AP4000 Helmet,£38.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-ap4000-helmet
Palm Index Socks,£24.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-index-socks
WRSi Current Pro Helmet,£111.96,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/wrsi-current-pro-helmet-1
Sweet Protection Rocker Helmet,£175.20,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/sweet-protection-rocker-helmet-1
WRSi Current Helmet,£99.96,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/wrsi-current-helmet-1
Palm Tsangpo Socks,£15.25,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-tsangpo-socks
Palm Stomp Socks,£32.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-stomp-socks
Dryrobe Camo Long Sleeved Changing Robe,£130.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-green-camo-long-sleeved-changing-robe
Peak PS Thermal Rashy - Long Sleeved,£45.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-thermal-rashy-long-sleeved
Palm Talon Mitts,£30.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-talon-mitts
Palm Shuck Helmet - Full Cut,£79.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-shuck-helmet-full-cut
Peak PS Neoskin Strides,£40.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-neoskin-strides-2023
Palm Tora Touring Cag,£119.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-tora-touring-cag
Palm Horizon Shorts,£72.25,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-horizon-shorts-1
Palm Shuck 2.0 Helmet,£112.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-shuck-v2-helmet
Sweet Protection Rocker Helmet,£175.20,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/sweet-protection-rocker-helmet
Peak PS Thermal Rashy - Short Sleeved,£40.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-thermal-rashy-short-sleeved
Peak PS Neoprene Gloves,£26.10,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-neoprene-gloves-2020
Peak PS Bagz Lined Shorts,£54.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-bagz-lined-shorts-2
Palm Vector Recreational Cag - Women's Fit,£93.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-vector-cag-womens
Palm Vantage Touring Cag,£105.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-vantage-touring-cag-2
Palm Shoot Boots,£46.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-shoot-boots
Palm Quantum Longjohn Wetsuit (Womens),£97.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-quantum-longjohn-wetsuit-womens
Palm High Five Kids Gloves,£17.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-high-five-kids-gloves
Peak PS Thermal Rashy Pants,£45.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-thermal-rashy-pants
Peak PS Neoskin Pants - Womens Fit,£45.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-neoskin-pants-womens-fit
Peak PS Neoskin Pants,£45.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-neoskin-pants-2022
Peak PS Neoprene Open Palm Mitts (2022),£25.20,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-neoprene-open-palm-mitts
Peak PS Adventure Double Jacket - Womens Fit - 2023,£238.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-adventure-double-jacket-womens-fit-2021
Palm Zenith Semi-Dry Shortie Cag,£140.25,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-zenith-shortsleeve-cag
Palm Velocity Dry Cag,£136.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-velocity-dry-cag
Palm Vantage Touring Cag - Womens Fit,£105.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-vantage-womens-touring-cag
Palm Tsangpo Suit,£123.25,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-tsangpo-suit
Palm Tora Women's Touring Cag,£119.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-tora-womens-touring-cag
Palm Spec Band,£6.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-spec-band
Palm Shuck Helmet - Half Cut,£69.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-shuck-helmet-half-cut
Palm Quantum Womens Neoprene Pants,£63.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-quantum-womens-neoprene-pants
Palm Horizon Shorts - Women's Fit,£69.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-horizon-shorts-womens-fit
Palm Descent Neoprene Pogies,£46.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-descent-neoprene-pogies-1
Palm Current Mitts,£38.25,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-current-mitts
Palm Chinook Touring Cag,£204.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-chinook-touring-cag
NRS Women's Riptide Splash Jacket,£119.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-womens-riptide-splash-jacket-2022-1
NRS Men's Riptide Splash Jacket,£119.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-mens-riptide-splash-jacket-2
Dryrobe Black Long Sleeved Changing Robe,£130.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-black-long-sleeved-changing-robe-1
Dryrobe V3 - Camo (Long Sleeved),£148.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-v3-camo-long-sleeved-changing-robe
Astral Hiyak,£138.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/astral-hiyak
Astral Rassler 2.0,£138.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/astral-rassler
NRS Women's HydroSkin 0.5 Jacket,£112.46,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-womens-hydroskin-05-jacket-1
Dryrobe V3 - Pink (Long Sleeved),£148.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-v3-pink-changing-robe
Dryrobe V3 - Kids Pink (Long Sleeved),£145.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-v3-pink-kids-changing-robe
Dryrobe V3 - Kids Blue Camo (Long Sleeved),£145.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-v3-blue-camo-kids-changing-robe
Dryrobe V3 - Blue Camo (Long Sleeved),£148.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-v3-blue-camo-changing-robe
Dryrobe V3 - Kids Dark Grey (Long Sleeved),£145.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-v3-dark-grey-kids-changing-robe
Dryrobe V3 - Dark Grey (Long Sleeved),£148.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-v3-dark-grey-changing-robe
Peak PS Freeride Helmet,£44.10,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-predator-helmet
Peak PS Tourlite Long Sleeved Cag,£122.32,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-tourlite-long-sleeved-cag-1
CKS Nylon Paddle Pogies,£9.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/cks-nylon-paddle-pogies
Peak Centre Helmet,£35.10,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-centre-helmet
NRS Men's HydroSkin 0.5 Short-Sleeve Shirt,£85.46,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-mens-hydroskin-05-shortsleeve-shirt
NRS Men's Lightweight Pant,£49.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-mens-lightweight-pant
NRS Women's HydroSkin 0.5 Capri Pants,£85.46,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-womens-hydroskin-05-capri-pants-1
Dryrobe V3 - Cobalt (Long Sleeved),£148.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-advance-v3-cobalt-long-sleeved-changing-robe
Sweet Protection Strutter Helmet,£143.20,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/sweet-strutter-helmet-1
Peak PS Zip Boots,£47.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-zip-boots
Sweet Protection Wanderer Earpads,£26.39,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/sweet-protection-wanderer-earpads
Peak UK Adventure Single Evo Touring Cag - Womens Fit - 2022,£227.92,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-adventure-single-evo-touring-cag-womens-fit-2022-1
Peak PS Thermal Rashy Pants - Womens Fit,£45.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-thermal-rashy-pants-womens-fit
Peak PS Ocean Bothy Cag,£175.12,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-ocean-bothy-cag
Peak PS Neoskin Strides - Womens Fit,£40.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-neoskin-strides-womens-fit-2012-1
Peak PS Kidz Thermal Rashy 2024,£39.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-kidz-thermal-rashy
Peak PS Headcase,£18.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-headcase-1
Peak PS Freeride Jacket - Womens Fit,£198.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-freeride-jacket-womens-fit-2022
Peak PS Freeride Jacket,£198.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-freeride-jacket-2022-1
Peak PS Deluxe Evo Jacket x4 -  Womens Fit,£259.60,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-deluxe-evo-jacket-x4-womens-fit
Peak PS Deluxe Evo Jacket x4,£259.60,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-deluxe-evo-jacket-x4-2022
Peak PS Deluxe Evo Jacket x2.5 - Womens Fit,£220.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-deluxe-evo-jacket-x25-womens-fit-2022-1
Peak PS Deluxe Evo Jacket x2.5,£220.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-deluxe-evo-jacket-x25-2022
Peak PS Bagz Lined Shorts - Womens Fit (2022),£51.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-bagz-lined-shorts-womens-fit
Peak PS Bagz Lined Shorts - Womens Fit,£54.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-ps-bagz-lined-shorts-womens-fit-1
Peak PS Adventure Single Touring Cag,£227.92,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/peak-uk-adventure-single-touring-cag
Palm Zenith Women's Cag,£161.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-zenith-womens-cag
Palm Zenith Semi-Dry Cag,£161.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-zenith-semidry-cag
Palm Vertigo Semi-Dry Cag,£110.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-vertigo-semidry-cag
Palm Tsangpo Suit - Womens,£123.25,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-tsangpo-suit-womens
Palm Tsangpo Fleece Hat,£17.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-tsangpo-fleece-hat
Palm Throttle Gloves,£38.25,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-throttle-gloves
Palm Terek Touring Cag,£211.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-terek-touring-cag
Palm Surge Dry Cag,£182.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-surge-dry-cag
Palm Quantum Neoprene Pants,£63.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-quantum-neoprene-pants
Palm Quantum Longjohn Wetsuit (Kids),£66.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-quantum-longjohn-wetsuit-kids
Palm Quantum Longjohn Wetsuit,£97.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-quantum-longjohn-wetsuit
Palm Pop Jacket - Kids Fit,£45.90,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-pop-jacket-kids-fit
Palm Pop Jacket,£46.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-pop-jacket-2024
Palm Poncho Grande Changing Robe,£69.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-poncho-grande-changing-robe
Palm Poncho Changing Robe,£42.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-poncho-changing-robe
Palm Nova Boots,£134.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-nova-boot-2020
Palm Mistral Cag,£127.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-mistral-cag-2020
Palm Kick Socks,£25.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-kick-socks
Palm Hook Gloves,£37.25,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-hook-gloves
Palm Header Cap,£17.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-header-cap
Palm Grab Gloves,£28.75,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-grab-gloves-3
Palm Fuse Cag,£300.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-fuse-cag-1
Palm Descender Shoes,£75.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-descender-shoes-2020
Palm Chinook Women's Jacket,£204.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-chinook-womens-jacket
Palm AP2000 Helmet,£38.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/palm-ap2000-helmet
NRS Womens Paddle Wetshoe  Fleece Lined Neoprene Boot,£55.21,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-womens-paddle-wetshoe
NRS Women's H2Core Lightweight Shirt,£42.46,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-womens-h2core-lightweight-shirt
NRS Women's H2Core Expedition Weight Shirt,£63.71,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-womens-h2core-expedition-weight-shirt_4
NRS Women's Expedition Weight Shirt,£63.71,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-womens-expedition-weight-shirt-4
NRS Women's Expedition Weight Pant,£63.71,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-womens-expedition-weight-pant-2022
NRS Men's H2Core Lightweight Shirt,£42.46,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-mens-h2core-lightweight-shirt
NRS Men's H2Core Expedition Weight Shirt,£57.76,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-mens-h2core-expedition-weight-shirt
NRS Flux Dry Top,£199.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/nrs-flux-dry-top
Dryrobe V3 - Kids Camo (Short Sleeved),£90.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-v3-kids-camo-short-sleeved-changing-robe
Dryrobe V3 - Kids Camo (Long Sleeved),£145.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-v3-kids-camo-long-sleeved-changing-robe
Dryrobe V3 - Kids Black (Short Sleeved),£90.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-v3-kids-black-short-sleeved-changing-robe-1
Dryrobe Red Long Sleeved Changing Robe,£130.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-red-long-sleeved-changing-robe
Dryrobe Kids Organic Cotton Towel Robe,£34.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-kids-organic-cotton-towel-robe
Dryrobe Kids Navy Short Sleeved Changing Robe,£72.25,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-kids-navy-short-sleeved-changing-robe
Dryrobe Kids Black Short Sleeved Changing Robe,£85.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-kids-black-short-sleeved-changing-robe
Dryrobe Compression Bag,£35.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-compression-bag-1
Dryrobe Cobalt Long Sleeved Changing Robe,£136.00,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-black-long-sleeved-changing-robe-2-1
Dryrobe Car Seat Cover (Double),£59.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-car-seat-cover-double
Dryrobe V3 - Navy (Long Sleeved),£148.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-advance-v3-navy-long-sleeved-changing-robe
Dryrobe V3 - Dark Green (Long Sleeved),£148.50,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/dryrobe-advance-v3-dark-green-long-sleeved-changing-robe-3
Crewsaver Granite Water Shoe,£34.95,https://www.canoeandkayakstore.co.uk/collections/clothing-1/products/crewsaver-granite-watershoe
